tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0115988	movie	The Crucible	The Crucible	0	1996	\N	124	Drama,History
tt0115994	movie	Curdled	Curdled	0	1996	\N	88	Comedy,Crime,Thriller
tt0116002	movie	The Square Circle	Daayraa	0	1996	\N	107	Drama,Music,Romance
tt0116005	movie	The Day a Pig Fell Into the Well	Daijiga umule pajinnal	0	1996	\N	115	Drama,Romance
tt0116015	movie	Non-Stop	Dangan ranna	0	1996	\N	82	Action,Comedy,Crime
tt0116024	movie	Daraar	Daraar	0	1996	\N	105	Action,Drama,Romance
tt0116035	movie	Dastak	Dastak	0	1996	\N	141	Drama,Romance
tt0116039	movie	Day of the Warrior	Day of the Warrior	0	1996	\N	96	Action,Adventure,Thriller
tt0116040	movie	Daylight	Daylight	0	1996	\N	114	Action,Adventure,Drama
tt0116075	movie	The Dentist	The Dentist	0	1996	\N	92	Horror,Thriller
tt0116095	movie	Diabolique	Diabolique	0	1996	\N	107	Drama,Horror,Mystery
tt0116130	movie	Down Periscope	Down Periscope	0	1996	\N	92	Comedy
tt0116135	movie	Dragon from Shaolin	Long zai Shaolin	0	1996	\N	89	Action,Adventure,Comedy
tt0116136	movie	DragonHeart	DragonHeart	0	1996	\N	103	Action,Adventure,Fantasy
tt0116147	movie	Drive	Drive	0	1997	\N	100	Action,Adventure,Comedy
tt0116151	movie	Dunston Checks In	Dunston Checks In	0	1996	\N	88	Adventure,Comedy,Family
tt0116153	movie	Dushman Duniya Ka	Dushman Duniya Ka	0	1996	\N	153	Drama
tt0116165	movie	Ed	Ed	0	1996	\N	94	Comedy,Family,Sport
tt0116170	movie	Oedipus Mayor	Oedipo alcalde	0	1996	\N	100	Drama,War
tt0116191	movie	Emma	Emma	0	1996	\N	120	Comedy,Drama,Romance
tt0116193	movie	In Praise of Older Women	En brazos de la mujer madura	0	1997	\N	105	Drama,Romance,War
tt0116209	movie	The English Patient	The English Patient	0	1996	\N	162	Drama,Romance,War
tt0116213	movie	Eraser	Eraser	0	1996	\N	115	Action,Crime,Thriller
tt0116231	movie	The Bandit	Eskiya	0	1996	\N	128	Crime,Drama
tt0116242	movie	Everyone Says I Love You	Everyone Says I Love You	0	1996	\N	101	Comedy,Musical,Romance
tt0116250	movie	Evita	Evita	0	1996	\N	135	Biography,Drama,History
tt0116253	movie	Executive Decision	Executive Decision	0	1996	\N	133	Action,Adventure,Thriller
tt0116260	movie	Eye for an Eye	Eye for an Eye	0	1996	\N	101	Crime,Drama,Thriller
tt0116277	movie	The Fan	The Fan	0	1996	\N	116	Action,Drama,Sport
tt0116279	movie	Fantozzi - Il ritorno	Fantozzi - Il ritorno	0	1996	\N	97	Comedy
tt0116282	movie	Fargo	Fargo	0	1996	\N	98	Crime,Drama,Thriller
tt0116287	movie	Fear	Fear	0	1996	\N	97	Drama,Thriller
tt0116293	movie	Female Perversions	Female Perversions	0	1996	\N	120	Drama,Fantasy,Thriller
tt0116294	movie	Femalien	Femalien	0	1996	\N	89	Romance,Sci-Fi
tt0116308	movie	Fire	Fire	0	1996	\N	104	Crime,Drama,Romance
tt0116313	movie	The First Wives Club	The First Wives Club	0	1996	\N	103	Comedy
tt0116317	movie	Flame	Flame	0	1996	\N	88	Drama,War
tt0116324	movie	Flirting with Disaster	Flirting with Disaster	0	1996	\N	92	Comedy
tt0116329	movie	Fly Away Home	Fly Away Home	0	1996	\N	107	Adventure,Drama,Family
tt0116330	movie	My Forgotten Man	My Forgotten Man	0	1993	\N	95	Biography,Drama
tt0116334	movie	For Ever Mozart	For Ever Mozart	0	1996	\N	84	Comedy,Drama,War
tt0116361	movie	Freeway	Freeway	0	1996	\N	104	Crime,Drama,Thriller
tt0116365	movie	The Frighteners	The Frighteners	0	1996	\N	110	Comedy,Fantasy,Horror
tt0116367	movie	From Dusk Till Dawn	From Dusk Till Dawn	0	1996	\N	108	Action,Crime,Horror
tt0116391	movie	Gang	Gang	0	2000	\N	167	Action,Crime,Drama
tt0116404	movie	Get on the Bus	Get on the Bus	0	1996	\N	120	Adventure,Drama,History
tt0116407	movie	Ghatak: Lethal	Ghatak: Lethal	0	1996	\N	158	Action,Drama
tt0116409	movie	The Ghost and the Darkness	The Ghost and the Darkness	0	1996	\N	110	Adventure,Drama,Thriller
tt0116413	movie	Poor But Beautiful	Giovani e belli	0	1996	\N	90	Comedy
tt0116421	movie	The Glimmer Man	The Glimmer Man	0	1996	\N	91	Action,Comedy,Crime
tt0116447	movie	Gray's Anatomy	Gray's Anatomy	0	1996	\N	80	Comedy,Drama
tt0116477	movie	Hamlet	Hamlet	0	1996	\N	242	Drama
tt0116483	movie	Happy Gilmore	Happy Gilmore	0	1996	\N	92	Comedy,Sport
tt0116493	movie	Harriet the Spy	Harriet the Spy	0	1996	\N	100	Comedy,Drama,Family
tt0116502	movie	Head Above Water	Head Above Water	0	1996	\N	92	Comedy,Thriller
tt0116503	movie	Head of the Family	Head of the Family	0	1996	\N	82	Comedy,Horror
tt0116531	movie	High School High	High School High	0	1996	\N	86	Comedy,Crime,Romance
tt0116583	movie	The Hunchback of Notre Dame	The Hunchback of Notre Dame	0	1996	\N	91	Animation,Drama,Family
tt0116621	movie	In Love and War	In Love and War	0	1996	\N	113	Biography,Drama,Romance
tt0116629	movie	Independence Day	Independence Day	0	1996	\N	145	Action,Adventure,Sci-Fi
